split_id,row_index,sbert_cosine_a,sbert_cosine_b,label
development/dev_track_a,1,0.11174476146697998,0.30317097902297974,False
development/dev_track_a,2,0.2819564938545227,0.5671039819717407,True
development/dev_track_a,3,0.3013383150100708,0.4535819888114929,False
development/dev_track_a,4,0.2823624908924103,0.4455440640449524,False
development/dev_track_a,5,0.46203649044036865,0.32075220346450806,False
development/dev_track_a,6,0.3637276589870453,0.21582253277301788,False
development/dev_track_a,7,0.3454296588897705,0.4399581253528595,False
development/dev_track_a,8,0.21494150161743164,0.2798434793949127,False
development/dev_track_a,9,0.44503897428512573,0.22667434811592102,True
development/dev_track_a,10,0.3795038163661957,0.2392520308494568,True
development/dev_track_a,11,0.4004821479320526,0.48017576336860657,True
development/dev_track_a,12,0.5155070424079895,0.2962973713874817,True
development/dev_track_a,13,0.44913536310195923,0.2752855718135834,True
development/dev_track_a,14,0.30235159397125244,0.23486065864562988,True
development/dev_track_a,15,0.16653800010681152,0.17933359742164612,False
development/dev_track_a,16,0.3607392907142639,0.3624473512172699,True
development/dev_track_a,17,0.2885432243347168,0.3037705719470978,True
development/dev_track_a,18,0.18485867977142334,0.34939128160476685,False
development/dev_track_a,19,0.3945578336715698,0.25876474380493164,True
development/dev_track_a,20,0.6448469161987305,0.44241559505462646,True
development/dev_track_a,21,0.27930670976638794,0.2064375877380371,True
development/dev_track_a,22,0.47182542085647583,0.2883741855621338,True
development/dev_track_a,23,0.16086092591285706,0.4148980379104614,False
development/dev_track_a,24,0.3318275809288025,0.4992826581001282,True
development/dev_track_a,25,0.29507866501808167,0.3594505488872528,True
development/dev_track_a,26,0.3640172779560089,0.3668045997619629,True
development/dev_track_a,27,0.2817007601261139,0.4419231414794922,False
development/dev_track_a,28,0.4033980369567871,0.2935054898262024,True
development/dev_track_a,29,0.40912485122680664,0.32254448533058167,True
development/dev_track_a,30,0.3771604299545288,0.29950642585754395,True
development/dev_track_a,31,0.3694780468940735,0.5198390483856201,False
development/dev_track_a,32,0.3095289468765259,0.33397233486175537,False
development/dev_track_a,33,0.2755993604660034,0.38845181465148926,False
development/dev_track_a,34,0.21497297286987305,0.30270272493362427,True
development/dev_track_a,35,0.42253682017326355,0.278997540473938,True
development/dev_track_a,36,0.23451723158359528,0.235022634267807,True
development/dev_track_a,37,0.1776064783334732,0.01083987858146429,False
development/dev_track_a,38,0.44823887944221497,0.11351354420185089,False
development/dev_track_a,39,0.4006878435611725,0.41508835554122925,False
development/dev_track_a,40,0.317290723323822,0.48702847957611084,True
development/dev_track_a,41,0.3506622016429901,0.2540907859802246,True
development/dev_track_a,42,0.5472031831741333,0.36816129088401794,True
development/dev_track_a,43,0.34940794110298157,0.349328875541687,True
