synthetic,dataset,id_left,id_right,configuration,similarity,label,pair_type,blacklisted_or_missing_or_invalid
standard,ActivityNet Captions,v_UgSLUt8X1Lc,v_AGgJVF3nT6I,Spectral_GloVe300,0.1370196885746941,0,negative,0
standard,ActivityNet Captions,v_HppLOtjJY_Q,v_2CfCDcCuOO4,Spectral_GloVe300,0.49818023780251625,0,negative,0
standard,ActivityNet Captions,v_LNKdVrX_0Fg,v_GTxmHim5JnY,Spectral_GloVe300,0.14528346642706957,0,negative,0
standard,ActivityNet Captions,v_VdeYnCIbRJ4,v_QHJTOHgjDMw,Spectral_GloVe300,0.30727157840013,0,negative,0
standard,ActivityNet Captions,v_eC4l8AuAmKw,v_UgSLUt8X1Lc,Spectral_GloVe300,0.06812861650266797,0,negative,0
standard,ActivityNet Captions,v___dXUJsj3yo,v_soHEsBIljbI,Spectral_GloVe300,0.29768323312405104,0,negative,0
standard,ActivityNet Captions,v_FsXl6whrCWk,v__s20ZN8WZbo,Spectral_GloVe300,0.058566372217726655,0,negative,0
standard,ActivityNet Captions,v_fOuFF7dGPtI,v_lZKrd84QElk,Spectral_GloVe300,0.15260026742249497,0,negative,0
standard,ActivityNet Captions,v__LKFGLH8XxI,v_bmoS216hsoc,Spectral_GloVe300,0.7213614178215572,0,negative,0
standard,ActivityNet Captions,v_UciHec7xncc,v_dAjhBWalWRM,Spectral_GloVe300,0.17309358218762255,0,negative,0
standard,ActivityNet Captions,v_lZKrd84QElk,v_fhtNAMK0Vqk,Spectral_GloVe300,0.3051428366316632,0,negative,0
standard,ActivityNet Captions,v_m22TDwfa8go,v_iqe_HmjojQ8,Spectral_GloVe300,0.1192220850389788,0,negative,0
standard,ActivityNet Captions,v_fN2DiOswmOA,v_lZKrd84QElk,Spectral_GloVe300,0.3605205365345944,0,negative,0
standard,ActivityNet Captions,v___dXUJsj3yo,v_W19-fYOO9sg,Spectral_GloVe300,0.2980707800610656,0,negative,0
standard,ActivityNet Captions,v_edbczrXeEOk,v_XSu5dteR2Ko,Spectral_GloVe300,0.32297128323601776,0,negative,0
standard,ActivityNet Captions,v_lZKrd84QElk,v_mpC_UTM1tWQ,Spectral_GloVe300,0.22504285118880032,0,negative,0
standard,ActivityNet Captions,v_eUCKEnKxG8w,v_W19-fYOO9sg,Spectral_GloVe300,0.49853521638862186,0,negative,0
standard,ActivityNet Captions,v_z5bc9KKiAGI,v_UgSLUt8X1Lc,Spectral_GloVe300,0.07955847672686783,0,negative,0
standard,ActivityNet Captions,v_tznMNEWglxY,v_oxp7V1AKJWk,Spectral_GloVe300,0.24715755505561654,0,negative,0
standard,ActivityNet Captions,v_QHJTOHgjDMw,v_XSu5dteR2Ko,Spectral_GloVe300,0.23721994336290733,0,negative,0
standard,ActivityNet Captions,v_7RESODKApso,v_uHPrH22rPgU,Spectral_GloVe300,0.04681215486546976,0,negative,0
standard,ActivityNet Captions,v_VsFHNZHhNwI,v_hhN1647pP88,Spectral_GloVe300,0.046346870894203765,0,negative,0
standard,ActivityNet Captions,v_6uNhwOSZXco,v_Aj0Pd6snB-k,Spectral_GloVe300,0.3495928781653247,0,negative,0
standard,ActivityNet Captions,v_fhtNAMK0Vqk,v_AGgJVF3nT6I,Spectral_GloVe300,0.018766557589517174,0,negative,0
standard,ActivityNet Captions,v_j_YetAlzwbk,v_UgSLUt8X1Lc,Spectral_GloVe300,0.09631001144717581,0,negative,0
standard,ActivityNet Captions,v_kxwTPAhlhpw,v_mpC_UTM1tWQ,Spectral_GloVe300,0.2082749000388199,0,negative,0
standard,ActivityNet Captions,v_m16Cn9VA3Lk,v_5qBzjfW-sMs,Spectral_GloVe300,0.3911468743381913,0,negative,0
standard,ActivityNet Captions,v_nHE7u40plD0,v_VWmSZPIoBlw,Spectral_GloVe300,0.4100068738898349,0,negative,0
standard,ActivityNet Captions,v_TdAfqkmTrf0,v_UXX8k68S3_g,Spectral_GloVe300,0.25316410329992667,0,negative,0
standard,ActivityNet Captions,v_I637SOXSbHY,v_pc_QYeZG9GA,Spectral_GloVe300,0.15100438319459691,0,negative,0
standard,ActivityNet Captions,v_CqAJxW84FkU,v_Q_Rufuciohg,Spectral_GloVe300,0.17062941434192608,0,negative,0
standard,ActivityNet Captions,v_37Q3so6ERxs,v_RJus6sogyiM,Spectral_GloVe300,0.4652752762410162,0,negative,0
standard,ActivityNet Captions,v_VWmSZPIoBlw,v_QOlSCBRmfWY,Spectral_GloVe300,0.24124022808277504,0,negative,0
standard,ActivityNet Captions,v_ogQozSI5V8U,v_eCzDH6PdtlE,Spectral_GloVe300,0.19559597389439448,0,negative,0
standard,ActivityNet Captions,v_UgSLUt8X1Lc,v_lETAKUG4pQw,Spectral_GloVe300,0.19609217647892604,0,negative,0
standard,ActivityNet Captions,v_6uNhwOSZXco,v__LKFGLH8XxI,Spectral_GloVe300,0.2988450485260438,0,negative,0
standard,ActivityNet Captions,v_ogQozSI5V8U,v_apPeChgjzs4,Spectral_GloVe300,0.0813998565063208,0,negative,0
standard,ActivityNet Captions,v_dLLvpM-gB8Q,v_VsFHNZHhNwI,Spectral_GloVe300,0.14402675631431638,0,negative,0
standard,ActivityNet Captions,v_HRjSOacCdWI,v_PG3f3Wkkptk,Spectral_GloVe300,0.21169338566169243,0,negative,0
standard,ActivityNet Captions,v__HQTWGmXXsc,v_zihMznAYlV0,Spectral_GloVe300,0.6273607187821796,0,negative,0
standard,ActivityNet Captions,v_pizl41xmw7k,v_fgoXpih2Kws,Spectral_GloVe300,0.40823519151407983,0,negative,0
standard,ActivityNet Captions,v_GFE2wAi9fjo,v_MleQSQt6Utw,Spectral_GloVe300,0.45064346693039414,0,negative,0
standard,ActivityNet Captions,v_2SnFlGUHKnc,v_X2LI_I_qw-A,Spectral_GloVe300,0.17034358116717194,0,negative,0
standard,ActivityNet Captions,v_xoXTlNWkC7w,v_37pwbUp8t1I,Spectral_GloVe300,0.24241127754818287,0,negative,0
standard,ActivityNet Captions,v_X2LI_I_qw-A,v_fhtNAMK0Vqk,Spectral_GloVe300,0.26673692069497945,0,negative,0
standard,ActivityNet Captions,v_p9iE8iemCMs,v_wyARf3xHOgs,Spectral_GloVe300,0.2578669293154521,0,negative,0
standard,ActivityNet Captions,v_UciHec7xncc,v_dnJJWt0SBTc,Spectral_GloVe300,0.27681448422618177,0,negative,0
standard,ActivityNet Captions,v_VWmSZPIoBlw,v_Tko7eefi1BI,Spectral_GloVe300,0.15801069813414262,0,negative,0
standard,ActivityNet Captions,v_STaS53CNlZI,v_UciHec7xncc,Spectral_GloVe300,0.32187648969731625,0,negative,0
standard,ActivityNet Captions,v_UXX8k68S3_g,v_mcDVNexy6Ps,Spectral_GloVe300,0.17008003565156973,0,negative,0
standard,ActivityNet Captions,v_UgSLUt8X1Lc,v_RgzbNJPchqc,Spectral_GloVe300,0.04829966399705595,0,negative,0
standard,ActivityNet Captions,v_epqnpUCVLK8,v_pc_QYeZG9GA,Spectral_GloVe300,0.10596845256388786,0,negative,0
standard,ActivityNet Captions,v_Bs3OMhhUlY4,v_r9X01daYa5o,Spectral_GloVe300,0.2906388895525435,0,negative,0
standard,ActivityNet Captions,v_LNKdVrX_0Fg,v_SpwOzrXw9JU,Spectral_GloVe300,0.1724906405984618,0,negative,0
standard,ActivityNet Captions,v_8ltNqT5N-xs,v_D18b2IZpxk0,Spectral_GloVe300,0.2848127460618283,0,negative,0
standard,ActivityNet Captions,v_cp52LdlmlUk,v_epqnpUCVLK8,Spectral_GloVe300,0.12926927898028304,0,negative,0
standard,ActivityNet Captions,v_VsFHNZHhNwI,v_fgoXpih2Kws,Spectral_GloVe300,0.076923127897221,0,negative,0
standard,ActivityNet Captions,v_iYxj8a1TPYk,v_NLTd7qCLT7o,Spectral_GloVe300,0.2236363496821679,0,negative,0
standard,ActivityNet Captions,v_Aj0Pd6snB-k,v_fOuFF7dGPtI,Spectral_GloVe300,0.11753587917377921,0,negative,0
standard,ActivityNet Captions,v_lETAKUG4pQw,v_HppLOtjJY_Q,Spectral_GloVe300,0.3731951774589544,0,negative,0
standard,ActivityNet Captions,v_UciHec7xncc,v_iYxj8a1TPYk,Spectral_GloVe300,0.35356096630654305,0,negative,0
standard,ActivityNet Captions,v_ZKo3_ifK2tQ,v_FsXl6whrCWk,Spectral_GloVe300,0.10313973461862927,0,negative,0
standard,ActivityNet Captions,v_epqnpUCVLK8,v_UBDcmeET6ys,Spectral_GloVe300,0.2940620433411286,0,negative,0
standard,ActivityNet Captions,v___dXUJsj3yo,v_D-y_N4u0uRQ,Spectral_GloVe300,0.20161986935826476,0,negative,0
standard,ActivityNet Captions,v_nsdB1r31-70,v_HRjSOacCdWI,Spectral_GloVe300,0.2008379954183129,0,negative,0
