split_id,row_index,llm_score_gpt_oss_120b_a,llm_score_gpt_oss_120b_b,label
development/dev_track_a,1,0.3,0.7,False
development/dev_track_a,2,0.75,0.3,True
development/dev_track_a,3,0.3,0.7,False
development/dev_track_a,4,0.3,0.55,False
development/dev_track_a,5,0.7,0.48,False
development/dev_track_a,6,0.55,0.3,False
development/dev_track_a,7,0.3,0.75,False
development/dev_track_a,8,0.3,0.75,False
development/dev_track_a,9,0.35,0.7,True
development/dev_track_a,10,0.7,0.2,True
development/dev_track_a,11,0.7,0.4,True
development/dev_track_a,12,0.4,0.7,True
development/dev_track_a,13,0.65,0.3,True
development/dev_track_a,14,0.68,0.32,True
development/dev_track_a,15,0.55,0.2,False
development/dev_track_a,16,0.4,0.7,True
development/dev_track_a,17,0.58,0.27,True
development/dev_track_a,18,0.3,0.65,False
development/dev_track_a,19,0.58,0.32,True
development/dev_track_a,20,0.4,0.7,True
development/dev_track_a,21,0.4,0.7,True
development/dev_track_a,22,0.45,0.7,True
development/dev_track_a,23,0.4,0.7,False
development/dev_track_a,24,0.35,0.68,True
development/dev_track_a,25,0.7,0.3,True
development/dev_track_a,26,0.75,0.3,True
development/dev_track_a,27,0.5,0.7,False
development/dev_track_a,28,0.35,0.7,True
development/dev_track_a,29,0.4,0.7,True
development/dev_track_a,30,0.7,0.3,True
development/dev_track_a,31,0.22,0.58,False
development/dev_track_a,32,0.3,0.7,False
development/dev_track_a,33,0.45,0.7,False
development/dev_track_a,34,0.7,0.45,True
development/dev_track_a,35,0.7,0.35,True
development/dev_track_a,36,0.3,0.55,True
development/dev_track_a,37,0.45,0.7,False
development/dev_track_a,38,0.35,0.75,False
development/dev_track_a,39,0.4,0.7,False
development/dev_track_a,40,0.7,0.4,True
development/dev_track_a,41,0.22,0.46,True
development/dev_track_a,42,0.45,0.7,True
development/dev_track_a,43,0.7,0.35,True
development/dev_track_a,44,0.7,0.3,False
development/dev_track_a,45,0.3,0.55,False
development/dev_track_a,46,0.6,0.35,False
development/dev_track_a,47,0.4,0.55,False
development/dev_track_a,48,0.2,0.7,False
development/dev_track_a,49,0.65,0.3,True
development/dev_track_a,50,0.7,0.25,True
development/dev_track_a,51,0.45,0.72,False
development/dev_track_a,52,0.35,0.65,True
development/dev_track_a,53,0.38,0.72,False
development/dev_track_a,54,0.42,0.71,False
development/dev_track_a,55,0.55,0.3,False
development/dev_track_a,56,0.7,0.45,False
development/dev_track_a,57,0.8,0.35,True
development/dev_track_a,58,0.75,0.4,True
development/dev_track_a,59,0.45,0.3,True
development/dev_track_a,60,0.65,0.4,False
development/dev_track_a,61,0.35,0.7,False
development/dev_track_a,62,0.45,0.8,False
development/dev_track_a,63,0.82,0.28,True
development/dev_track_a,64,0.35,0.2,True
development/dev_track_a,65,0.45,0.55,True
development/dev_track_a,66,0.3,0.7,False
development/dev_track_a,67,0.65,0.35,False
development/dev_track_a,68,0.7,0.35,False
development/dev_track_a,69,0.65,0.35,False
development/dev_track_a,70,0.65,0.45,True
development/dev_track_a,71,0.3,0.7,False
development/dev_track_a,72,0.7,0.2,True
development/dev_track_a,73,0.3,0.8,False
development/dev_track_a,74,0.7,0.3,True
development/dev_track_a,75,0.7,0.45,False
development/dev_track_a,76,0.7,0.45,True
development/dev_track_a,77,0.5,0.7,False
development/dev_track_a,78,0.35,0.55,False
development/dev_track_a,79,0.3,0.55,False
development/dev_track_a,80,0.45,0.78,False
development/dev_track_a,81,0.3,0.55,True
development/dev_track_a,82,0.7,0.3,True
development/dev_track_a,83,0.45,0.7,True
development/dev_track_a,84,0.7,0.4,True
development/dev_track_a,85,0.38,0.72,False
development/dev_track_a,86,0.45,0.78,False
development/dev_track_a,87,0.2,0.7,False
development/dev_track_a,88,0.8,0.3,True
development/dev_track_a,89,0.45,0.78,False
development/dev_track_a,90,0.35,0.15,True
development/dev_track_a,91,0.3,0.65,False
development/dev_track_a,92,0.4,0.7,False
development/dev_track_a,93,0.38,0.71,False
development/dev_track_a,94,0.3,0.7,False
development/dev_track_a,95,0.78,0.34,True
development/dev_track_a,96,0.55,0.35,False
development/dev_track_a,97,0.7,0.3,True
development/dev_track_a,98,0.55,0.35,False
development/dev_track_a,99,0.7,0.3,True
development/dev_track_a,100,0.7,0.3,True
development/dev_track_a,101,0.7,0.35,True
development/dev_track_a,102,0.45,0.78,False
development/dev_track_a,103,0.55,0.3,False
development/dev_track_a,104,0.7,0.4,True
development/dev_track_a,105,0.35,0.7,False
development/dev_track_a,106,0.3,0.75,False
development/dev_track_a,107,0.38,0.71,True
development/dev_track_a,108,0.3,0.7,False
development/dev_track_a,109,0.3,0.7,False
development/dev_track_a,110,0.7,0.4,True
development/dev_track_a,111,0.65,0.3,False
development/dev_track_a,112,0.3,0.7,False
development/dev_track_a,113,0.3,0.7,False
development/dev_track_a,114,0.6,0.25,True
development/dev_track_a,115,0.65,0.45,True
development/dev_track_a,116,0.3,0.7,False
development/dev_track_a,117,0.8,0.35,True
development/dev_track_a,118,0.3,0.7,False
development/dev_track_a,119,0.65,0.35,True
development/dev_track_a,120,0.3,0.6,True
development/dev_track_a,121,0.25,0.7,False
development/dev_track_a,122,0.4,0.85,True
development/dev_track_a,123,0.3,0.65,True
development/dev_track_a,124,0.68,0.35,True
development/dev_track_a,125,0.72,0.45,False
development/dev_track_a,126,0.45,0.7,False
development/dev_track_a,127,0.3,0.7,False
development/dev_track_a,128,0.7,0.35,True
development/dev_track_a,129,0.45,0.2,False
development/dev_track_a,130,0.55,0.3,False
development/dev_track_a,131,0.68,0.44,True
development/dev_track_a,132,0.45,0.7,True
development/dev_track_a,133,0.3,0.65,True
development/dev_track_a,134,0.35,0.57,False
development/dev_track_a,135,0.38,0.72,True
development/dev_track_a,136,0.55,0.4,False
development/dev_track_a,137,0.7,0.45,False
development/dev_track_a,138,0.7,0.35,True
development/dev_track_a,139,0.7,0.3,True
development/dev_track_a,140,0.3,0.7,False
development/dev_track_a,141,0.7,0.4,False
development/dev_track_a,142,0.3,0.7,False
development/dev_track_a,143,0.3,0.55,False
development/dev_track_a,144,0.12,0.58,True
development/dev_track_a,145,0.55,0.35,True
development/dev_track_a,146,0.1,0.6,False
development/dev_track_a,147,0.7,0.45,True
development/dev_track_a,148,0.2,0.8,False
development/dev_track_a,149,0.3,0.7,False
development/dev_track_a,150,0.7,0.3,True
development/dev_track_a,151,0.55,0.3,True
development/dev_track_a,152,0.45,0.8,True
development/dev_track_a,153,0.62,0.28,True
development/dev_track_a,154,0.7,0.3,True
development/dev_track_a,155,0.2,0.7,False
development/dev_track_a,156,0.7,0.3,True
development/dev_track_a,157,0.7,0.4,True
development/dev_track_a,158,0.45,0.7,False
development/dev_track_a,159,0.3,0.75,False
development/dev_track_a,160,0.7,0.45,True
development/dev_track_a,161,0.7,0.3,True
development/dev_track_a,162,0.3,0.7,False
development/dev_track_a,163,0.7,0.4,True
development/dev_track_a,164,0.68,0.25,True
development/dev_track_a,165,0.38,0.72,False
development/dev_track_a,166,0.7,0.3,False
development/dev_track_a,167,0.45,0.7,False
development/dev_track_a,168,0.45,0.7,True
development/dev_track_a,169,0.65,0.45,False
development/dev_track_a,170,0.3,0.6,True
development/dev_track_a,171,0.3,0.75,True
development/dev_track_a,172,0.35,0.78,False
development/dev_track_a,173,0.7,0.4,True
development/dev_track_a,174,0.35,0.65,False
development/dev_track_a,175,0.35,0.75,True
development/dev_track_a,176,0.78,0.32,True
development/dev_track_a,177,0.65,0.45,True
development/dev_track_a,178,0.7,0.35,True
development/dev_track_a,179,0.35,0.7,False
development/dev_track_a,180,0.45,0.7,False
development/dev_track_a,181,0.7,0.3,True
development/dev_track_a,182,0.6,0.2,True
development/dev_track_a,183,0.7,0.45,False
development/dev_track_a,184,0.3,0.7,False
development/dev_track_a,185,0.35,0.6,False
development/dev_track_a,186,0.7,0.3,False
development/dev_track_a,187,0.4,0.7,True
development/dev_track_a,188,0.65,0.3,True
development/dev_track_a,189,0.45,0.55,False
development/dev_track_a,190,0.7,0.4,True
development/dev_track_a,191,0.7,0.3,True
development/dev_track_a,192,0.65,0.3,True
development/dev_track_a,193,0.7,0.35,True
development/dev_track_a,194,0.35,0.7,False
development/dev_track_a,195,0.7,0.4,True
development/dev_track_a,196,0.4,0.7,False
development/dev_track_a,197,0.3,0.7,True
development/dev_track_a,198,0.55,0.3,False
development/dev_track_a,199,0.45,0.8,False
development/dev_track_a,200,0.4,0.65,True
